" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Вино - Франция - Белое сухое" ;" 1646" ;" вино "Шарте Шаблі" 0.7" ;" 7" ;" 770,00" ;" " ;" " ;" 770,00" 
" Вино - Франция - Белое сухое" ;" 2640" ;" вино "Розе Анжу Паспорт"0.75" ;" 2" ;" 692,00" ;" " ;" " ;" 692,00" 
" Вино - Франция - Белое сухое" ;" 4341" ;" вино Жарден дю Рой Блан 0.75" ;" 2" ;" 206,00" ;" " ;" " ;" 206,00" 
" Вино - Франция - Красное п/слад" ;" 1521" ;" вино "Барон Лірондо"чер.н/сол.0.75" ;" 1" ;" 175,00" ;" " ;" " ;" 175,00" 
" Вино - Франция - Красное п/сух" ;" 1522" ;" вино"Барон Лірондо"чер.н/сухе 0.75" ;" 1" ;" 174,00" ;" " ;" " ;" 174,00" 
" Вино - Франция - Красное сухое" ;" 1122" ;" вино Жеврей Шамбертен кр.сух.0,75" ;" 1" ;" 493,00" ;" " ;" " ;" 493,00" 
" Вино - Франция - Красное сухое" ;" 1608" ;" вино "Шарте Медок"кр.сухе 0.7" ;" 32" ;" 2 560,00" ;" " ;" " ;" 2 560,00" 
" Вино - Франция - Красное сухое" ;" 4342" ;" вино Жарден дю Рой Руж  чер сухе 0.75" ;" 4" ;" 412,00" ;" " ;" " ;" 412,00" 
" Вино - Чили - Белое сухое" ;" 3577" ;" вино WM Совиньон/блан 0.75" ;" 1" ;" 118,00" ;" " ;" " ;" 118,00" 
" Вино - Чили - Красное сухое" ;" 2756" ;" вино "Каберне-Совіньйон"0.75" ;" 1" ;" 186,00" ;" " ;" " ;" 186,00" 
" Виски" ;" 3431" ;" віскі Томатін Лежендарі Скот 0.7" ;" 1" ;" 211,00" ;" " ;" " ;" 211,00" 
" Виски" ;" 3886" ;" Віски Вайт Хорс 1л" ;" 1" ;" 522,00" ;" " ;" " ;" 522,00" 
" Виски" ;" 4424" ;" віскі Бурбон Four Roses 0.7" ;" 1" ;" 433,00" ;" " ;" " ;" 433,00" 
